日期,m值,沪深300收盘指数
2006-01-23,0.5915,996.1600
2006-01-24,0.6451,999.0900
2006-01-25,0.7440,1009.6000
2006-02-06,0.7989,1033.2300
2006-02-07,0.7091,1029.9400
2006-02-08,0.4519,1033.0700
2006-02-09,0.0495,1019.6000
2006-02-10,0.2420,1032.3400
2006-02-13,0.2610,1031.6100
2006-02-14,0.1846,1038.5300
2006-02-15,0.2298,1041.6600
2006-02-16,-0.1220,1020.1200
2006-02-17,-0.1846,1020.3700
2006-02-20,-0.2357,1021.6400
2006-02-21,0.2145,1038.8200
2006-02-22,0.4619,1037.8900
2006-02-23,0.4597,1041.3700
2006-02-24,0.6225,1049.4400
2006-02-27,0.5042,1047.8400
2006-02-28,0.2577,1053.0100
2006-03-01,0.2068,1056.6200
2006-03-02,-0.3613,1038.6700
2006-03-03,-0.6671,1041.6800
2006-03-06,-0.5581,1038.8700
2006-03-07,-0.6950,1014.9700
2006-03-08,-0.6492,1009.2700
2006-03-09,-0.5601,1004.3400
2006-03-10,-0.3028,1008.9000
2006-03-13,0.3594,1019.8600
2006-03-14,0.6484,1018.2700
2006-03-15,0.7668,1028.9600
2006-03-16,0.8457,1027.6200
2006-03-17,0.6304,1024.0200
2006-03-20,0.8845,1037.6600
2006-03-21,0.7440,1040.7600
2006-03-22,0.8230,1047.6700
2006-03-23,0.9160,1048.5400
2006-03-24,0.8343,1042.6000
2006-03-27,0.7874,1050.7100
2006-03-28,0.8563,1055.9800
2006-03-29,1.0000,1065.2900
2006-03-30,0.6753,1055.6300
2006-03-31,0.7535,1061.0900
2006-04-03,0.9636,1079.3200
2006-04-04,0.9710,1089.3700
2006-04-05,0.9303,1099.9700
2006-04-06,0.8792,1103.2400
2006-04-07,0.7484,1103.1500
2006-04-10,0.7837,1117.9100
2006-04-11,0.6130,1123.3100
2006-04-12,0.3674,1117.0700
2006-04-13,-0.0360,1093.9300
2006-04-14,0.3461,1118.6100
2006-04-17,0.6537,1124.4100
2006-04-18,0.6837,1131.2800
2006-04-19,0.8059,1138.2400
2006-04-20,0.7653,1134.3800
2006-04-21,0.9890,1149.1600
2006-04-24,0.6820,1142.7000
2006-04-25,0.5868,1141.9300
2006-04-26,0.9027,1155.7300
2006-04-27,0.6805,1155.2700
2006-04-28,0.9554,1172.3500
2006-05-08,0.9900,1218.4400
2006-05-09,0.9205,1251.6100
2006-05-10,0.9067,1265.9300
2006-05-11,0.8282,1255.0400
2006-05-12,0.7420,1296.2600
2006-05-15,0.7487,1352.1600
2006-05-16,0.5278,1331.1300
2006-05-17,0.4578,1335.5200
2006-05-18,0.1042,1331.2000
2006-05-19,0.1056,1366.1000
2006-05-22,0.1721,1373.6700
2006-05-23,-0.1494,1317.6500
2006-05-24,0.0066,1308.2400
2006-05-25,0.0001,1307.7000
2006-05-26,0.3229,1331.0200
2006-05-29,0.6338,1366.2900
2006-05-30,0.5032,1378.7600
2006-05-31,0.3230,1365.4500
2006-06-01,0.7946,1402.8800
2006-06-02,0.2574,1390.1200
2006-06-05,0.2156,1403.1600
2006-06-06,-0.0674,1399.1400
2006-06-07,-0.8028,1320.2300
2006-06-08,-0.7758,1325.9800
2006-06-09,-0.7396,1294.1900
2006-06-12,-0.6287,1297.6700
2006-06-13,-0.6204,1298.2800
2006-06-14,-0.2676,1283.8800
2006-06-15,-0.2059,1285.3900
2006-06-16,0.3107,1318.0100
2006-06-19,0.4236,1334.8900
2006-06-20,0.5040,1338.2200
2006-06-21,0.4040,1333.5300
2006-06-22,0.4566,1331.5500
2006-06-23,0.7353,1339.4500
2006-06-26,0.7334,1363.4100
2006-06-27,0.7531,1363.9000
2006-06-28,0.7045,1362.8900
2006-06-29,0.7549,1395.1200
2006-06-30,0.6378,1393.9600
2006-07-03,0.7523,1420.3300
2006-07-04,0.5871,1411.0100
2006-07-05,0.0159,1393.0100
2006-07-06,0.3671,1418.6800
2006-07-07,0.0902,1410.4300
2006-07-10,-0.0165,1412.1200
2006-07-11,0.0373,1418.5700
2006-07-12,0.0506,1419.2000
2006-07-13,-0.5141,1346.0900
2006-07-14,-0.6241,1357.1300
2006-07-17,-0.4737,1372.2500
2006-07-18,-0.2799,1373.4200
2006-07-19,-0.5015,1336.6400
2006-07-20,-0.3400,1345.1900
2006-07-21,-0.0895,1356.0300
2006-07-24,0.0834,1358.1200
2006-07-25,0.3142,1374.1700
2006-07-26,0.1620,1371.3000
2006-07-27,-0.2729,1355.5500
2006-07-28,-0.5092,1341.3900
2006-07-31,-0.8882,1294.3300
2006-08-01,-0.8720,1282.0600
2006-08-02,-0.7444,1275.0900
2006-08-03,-0.6758,1271.7400
2006-08-04,-0.4783,1241.9100
2006-08-07,-0.3120,1224.1000
2006-08-08,-0.0873,1252.3900
2006-08-09,0.0720,1251.3000
2006-08-10,0.2559,1271.4700
2006-08-11,0.2236,1275.6500
2006-08-14,0.0007,1245.7200
2006-08-15,0.1364,1265.8600
2006-08-16,0.4601,1283.5700
2006-08-17,0.3363,1271.6300
2006-08-18,0.2748,1267.8700
2006-08-21,0.3809,1270.5600
2006-08-22,0.5484,1285.2700
2006-08-23,0.6020,1285.6800
2006-08-24,0.4544,1292.4000
2006-08-25,0.7202,1295.4400
2006-08-28,0.7473,1325.8900
2006-08-29,0.7304,1330.1600
2006-08-30,0.4868,1334.6700
2006-08-31,0.4126,1338.6900
2006-09-01,0.2635,1318.1000
2006-09-04,-0.0312,1337.2400
2006-09-05,0.0907,1340.6800
2006-09-06,0.1823,1346.3700
2006-09-07,-0.1969,1328.3800
2006-09-08,-0.1454,1332.1500
2006-09-11,0.0246,1338.7600
2006-09-12,0.2495,1347.6400
2006-09-13,0.3573,1338.3900
2006-09-14,0.1607,1338.2800
2006-09-15,0.6208,1362.3200
2006-09-18,0.5569,1375.5600
2006-09-19,0.3433,1378.3100
